image_fname,mask_fname,folder,image_id,event_name,sample_id,event_type,non_damaged_pixels,light_damaged_pixels,medium_damaged_pixels,destroyed_pixels,non_damaged_buildings,light_damaged_buildings,medium_damaged_buildings,destroyed_buildings
train/images/guatemala-volcano_00000003_post_disaster.png,train/masks/guatemala-volcano_00000003_post_disaster.png,train,guatemala-volcano_00000003_post_disaster,guatemala-volcano,00000003,post,0,3740,0,406,0,2,0,1
train/images/guatemala-volcano_00000003_pre_disaster.png,train/masks/guatemala-volcano_00000003_pre_disaster.png,train,guatemala-volcano_00000003_pre_disaster,guatemala-volcano,00000003,pre,4146,0,0,0,3,0,0,0
train/images/guatemala-volcano_00000005_post_disaster.png,train/masks/guatemala-volcano_00000005_post_disaster.png,train,guatemala-volcano_00000005_post_disaster,guatemala-volcano,00000005,post,126,0,0,0,1,0,0,0
train/images/guatemala-volcano_00000005_pre_disaster.png,train/masks/guatemala-volcano_00000005_pre_disaster.png,train,guatemala-volcano_00000005_pre_disaster,guatemala-volcano,00000005,pre,126,0,0,0,1,0,0,0
train/images/guatemala-volcano_00000009_post_disaster.png,train/masks/guatemala-volcano_00000009_post_disaster.png,train,guatemala-volcano_00000009_post_disaster,guatemala-volcano,00000009,post,17324,0,0,0,4,0,0,0
train/images/guatemala-volcano_00000009_pre_disaster.png,train/masks/guatemala-volcano_00000009_pre_disaster.png,train,guatemala-volcano_00000009_pre_disaster,guatemala-volcano,00000009,pre,17364,0,0,0,4,0,0,0
train/images/guatemala-volcano_00000011_post_disaster.png,train/masks/guatemala-volcano_00000011_post_disaster.png,train,guatemala-volcano_00000011_post_disaster,guatemala-volcano,00000011,post,0,1162,0,0,0,1,0,0
train/images/guatemala-volcano_00000011_pre_disaster.png,train/masks/guatemala-volcano_00000011_pre_disaster.png,train,guatemala-volcano_00000011_pre_disaster,guatemala-volcano,00000011,pre,1162,0,0,0,1,0,0,0
train/images/guatemala-volcano_00000021_post_disaster.png,train/masks/guatemala-volcano_00000021_post_disaster.png,train,guatemala-volcano_00000021_post_disaster,guatemala-volcano,00000021,post,22269,0,0,0,20,0,0,0
train/images/guatemala-volcano_00000021_pre_disaster.png,train/masks/guatemala-volcano_00000021_pre_disaster.png,train,guatemala-volcano_00000021_pre_disaster,guatemala-volcano,00000021,pre,22267,0,0,0,20,0,0,0
train/images/hurricane-florence_00000004_post_disaster.png,train/masks/hurricane-florence_00000004_post_disaster.png,train,hurricane-florence_00000004_post_disaster,hurricane-florence,00000004,post,136790,0,0,0,75,0,0,0
train/images/hurricane-florence_00000004_pre_disaster.png,train/masks/hurricane-florence_00000004_pre_disaster.png,train,hurricane-florence_00000004_pre_disaster,hurricane-florence,00000004,pre,136790,0,0,0,75,0,0,0
train/images/hurricane-florence_00000005_post_disaster.png,train/masks/hurricane-florence_00000005_post_disaster.png,train,hurricane-florence_00000005_post_disaster,hurricane-florence,00000005,post,174791,0,0,0,74,0,0,0
train/images/hurricane-florence_00000005_pre_disaster.png,train/masks/hurricane-florence_00000005_pre_disaster.png,train,hurricane-florence_00000005_pre_disaster,hurricane-florence,00000005,pre,175012,0,0,0,74,0,0,0
train/images/hurricane-florence_00000007_post_disaster.png,train/masks/hurricane-florence_00000007_post_disaster.png,train,hurricane-florence_00000007_post_disaster,hurricane-florence,00000007,post,50132,0,0,0,15,0,0,0
train/images/hurricane-florence_00000007_pre_disaster.png,train/masks/hurricane-florence_00000007_pre_disaster.png,train,hurricane-florence_00000007_pre_disaster,hurricane-florence,00000007,pre,50369,0,0,0,15,0,0,0
train/images/hurricane-florence_00000013_post_disaster.png,train/masks/hurricane-florence_00000013_post_disaster.png,train,hurricane-florence_00000013_post_disaster,hurricane-florence,00000013,post,58985,0,0,0,48,0,0,0
train/images/hurricane-florence_00000013_pre_disaster.png,train/masks/hurricane-florence_00000013_pre_disaster.png,train,hurricane-florence_00000013_pre_disaster,hurricane-florence,00000013,pre,58987,0,0,0,48,0,0,0
train/images/hurricane-florence_00000019_post_disaster.png,train/masks/hurricane-florence_00000019_post_disaster.png,train,hurricane-florence_00000019_post_disaster,hurricane-florence,00000019,post,143160,0,0,0,134,0,0,0
train/images/hurricane-florence_00000019_pre_disaster.png,train/masks/hurricane-florence_00000019_pre_disaster.png,train,hurricane-florence_00000019_pre_disaster,hurricane-florence,00000019,pre,143409,0,0,0,134,0,0,0
train/images/hurricane-florence_00000029_post_disaster.png,train/masks/hurricane-florence_00000029_post_disaster.png,train,hurricane-florence_00000029_post_disaster,hurricane-florence,00000029,post,0,0,598,423,0,0,1,4
train/images/hurricane-florence_00000029_pre_disaster.png,train/masks/hurricane-florence_00000029_pre_disaster.png,train,hurricane-florence_00000029_pre_disaster,hurricane-florence,00000029,pre,1021,0,0,0,5,0,0,0
train/images/hurricane-florence_00000039_post_disaster.png,train/masks/hurricane-florence_00000039_post_disaster.png,train,hurricane-florence_00000039_post_disaster,hurricane-florence,00000039,post,1368,0,0,0,4,0,0,0
train/images/hurricane-florence_00000039_pre_disaster.png,train/masks/hurricane-florence_00000039_pre_disaster.png,train,hurricane-florence_00000039_pre_disaster,hurricane-florence,00000039,pre,1368,0,0,0,4,0,0,0
train/images/hurricane-florence_00000046_post_disaster.png,train/masks/hurricane-florence_00000046_post_disaster.png,train,hurricane-florence_00000046_post_disaster,hurricane-florence,00000046,post,230032,1610,0,0,152,1,0,0
train/images/hurricane-florence_00000046_pre_disaster.png,train/masks/hurricane-florence_00000046_pre_disaster.png,train,hurricane-florence_00000046_pre_disaster,hurricane-florence,00000046,pre,231904,0,0,0,153,0,0,0
train/images/hurricane-florence_00000056_post_disaster.png,train/masks/hurricane-florence_00000056_post_disaster.png,train,hurricane-florence_00000056_post_disaster,hurricane-florence,00000056,post,0,0,0,0,0,0,0,0
train/images/hurricane-florence_00000056_pre_disaster.png,train/masks/hurricane-florence_00000056_pre_disaster.png,train,hurricane-florence_00000056_pre_disaster,hurricane-florence,00000056,pre,0,0,0,0,0,0,0,0
train/images/hurricane-florence_00000076_post_disaster.png,train/masks/hurricane-florence_00000076_post_disaster.png,train,hurricane-florence_00000076_post_disaster,hurricane-florence,00000076,post,2702,3281,2218,0,4,2,3,0
train/images/hurricane-florence_00000076_pre_disaster.png,train/masks/hurricane-florence_00000076_pre_disaster.png,train,hurricane-florence_00000076_pre_disaster,hurricane-florence,00000076,pre,8223,0,0,0,9,0,0,0
train/images/hurricane-florence_00000077_post_disaster.png,train/masks/hurricane-florence_00000077_post_disaster.png,train,hurricane-florence_00000077_post_disaster,hurricane-florence,00000077,post,39439,0,0,0,30,0,0,0
train/images/hurricane-florence_00000077_pre_disaster.png,train/masks/hurricane-florence_00000077_pre_disaster.png,train,hurricane-florence_00000077_pre_disaster,hurricane-florence,00000077,pre,39501,0,0,0,30,0,0,0
train/images/hurricane-florence_00000082_post_disaster.png,train/masks/hurricane-florence_00000082_post_disaster.png,train,hurricane-florence_00000082_post_disaster,hurricane-florence,00000082,post,0,0,1917,0,0,0,3,0
train/images/hurricane-florence_00000082_pre_disaster.png,train/masks/hurricane-florence_00000082_pre_disaster.png,train,hurricane-florence_00000082_pre_disaster,hurricane-florence,00000082,pre,1917,0,0,0,3,0,0,0
train/images/hurricane-florence_00000087_post_disaster.png,train/masks/hurricane-florence_00000087_post_disaster.png,train,hurricane-florence_00000087_post_disaster,hurricane-florence,00000087,post,94343,0,0,0,54,0,0,0
train/images/hurricane-florence_00000087_pre_disaster.png,train/masks/hurricane-florence_00000087_pre_disaster.png,train,hurricane-florence_00000087_pre_disaster,hurricane-florence,00000087,pre,94378,0,0,0,54,0,0,0
train/images/hurricane-florence_00000092_post_disaster.png,train/masks/hurricane-florence_00000092_post_disaster.png,train,hurricane-florence_00000092_post_disaster,hurricane-florence,00000092,post,0,0,4091,0,0,0,11,0
train/images/hurricane-florence_00000092_pre_disaster.png,train/masks/hurricane-florence_00000092_pre_disaster.png,train,hurricane-florence_00000092_pre_disaster,hurricane-florence,00000092,pre,4108,0,0,0,11,0,0,0
train/images/hurricane-florence_00000095_post_disaster.png,train/masks/hurricane-florence_00000095_post_disaster.png,train,hurricane-florence_00000095_post_disaster,hurricane-florence,00000095,post,27430,0,0,0,39,0,0,0
train/images/hurricane-florence_00000095_pre_disaster.png,train/masks/hurricane-florence_00000095_pre_disaster.png,train,hurricane-florence_00000095_pre_disaster,hurricane-florence,00000095,pre,27479,0,0,0,39,0,0,0
train/images/hurricane-florence_00000112_post_disaster.png,train/masks/hurricane-florence_00000112_post_disaster.png,train,hurricane-florence_00000112_post_disaster,hurricane-florence,00000112,post,0,0,0,0,0,0,0,0
train/images/hurricane-florence_00000112_pre_disaster.png,train/masks/hurricane-florence_00000112_pre_disaster.png,train,hurricane-florence_00000112_pre_disaster,hurricane-florence,00000112,pre,0,0,0,0,0,0,0,0
train/images/hurricane-florence_00000113_post_disaster.png,train/masks/hurricane-florence_00000113_post_disaster.png,train,hurricane-florence_00000113_post_disaster,hurricane-florence,00000113,post,0,0,12405,0,0,0,25,0
train/images/hurricane-florence_00000113_pre_disaster.png,train/masks/hurricane-florence_00000113_pre_disaster.png,train,hurricane-florence_00000113_pre_disaster,hurricane-florence,00000113,pre,12428,0,0,0,25,0,0,0
train/images/hurricane-florence_00000116_post_disaster.png,train/masks/hurricane-florence_00000116_post_disaster.png,train,hurricane-florence_00000116_post_disaster,hurricane-florence,00000116,post,2055,0,0,0,2,0,0,0
train/images/hurricane-florence_00000116_pre_disaster.png,train/masks/hurricane-florence_00000116_pre_disaster.png,train,hurricane-florence_00000116_pre_disaster,hurricane-florence,00000116,pre,2055,0,0,0,2,0,0,0
train/images/hurricane-florence_00000117_post_disaster.png,train/masks/hurricane-florence_00000117_post_disaster.png,train,hurricane-florence_00000117_post_disaster,hurricane-florence,00000117,post,6189,0,0,0,8,0,0,0
train/images/hurricane-florence_00000117_pre_disaster.png,train/masks/hurricane-florence_00000117_pre_disaster.png,train,hurricane-florence_00000117_pre_disaster,hurricane-florence,00000117,pre,6189,0,0,0,8,0,0,0
train/images/hurricane-florence_00000119_post_disaster.png,train/masks/hurricane-florence_00000119_post_disaster.png,train,hurricane-florence_00000119_post_disaster,hurricane-florence,00000119,post,0,0,4753,0,0,0,10,0
train/images/hurricane-florence_00000119_pre_disaster.png,train/masks/hurricane-florence_00000119_pre_disaster.png,train,hurricane-florence_00000119_pre_disaster,hurricane-florence,00000119,pre,4753,0,0,0,10,0,0,0
train/images/hurricane-florence_00000125_post_disaster.png,train/masks/hurricane-florence_00000125_post_disaster.png,train,hurricane-florence_00000125_post_disaster,hurricane-florence,00000125,post,0,0,1186,0,0,0,3,0
train/images/hurricane-florence_00000125_pre_disaster.png,train/masks/hurricane-florence_00000125_pre_disaster.png,train,hurricane-florence_00000125_pre_disaster,hurricane-florence,00000125,pre,1186,0,0,0,3,0,0,0
train/images/hurricane-florence_00000127_post_disaster.png,train/masks/hurricane-florence_00000127_post_disaster.png,train,hurricane-florence_00000127_post_disaster,hurricane-florence,00000127,post,0,0,2364,0,0,0,4,0
train/images/hurricane-florence_00000127_pre_disaster.png,train/masks/hurricane-florence_00000127_pre_disaster.png,train,hurricane-florence_00000127_pre_disaster,hurricane-florence,00000127,pre,2364,0,0,0,4,0,0,0
train/images/hurricane-florence_00000128_post_disaster.png,train/masks/hurricane-florence_00000128_post_disaster.png,train,hurricane-florence_00000128_post_disaster,hurricane-florence,00000128,post,0,0,47,0,0,0,1,0
train/images/hurricane-florence_00000128_pre_disaster.png,train/masks/hurricane-florence_00000128_pre_disaster.png,train,hurricane-florence_00000128_pre_disaster,hurricane-florence,00000128,pre,47,0,0,0,1,0,0,0
train/images/hurricane-florence_00000129_post_disaster.png,train/masks/hurricane-florence_00000129_post_disaster.png,train,hurricane-florence_00000129_post_disaster,hurricane-florence,00000129,post,1317,0,0,0,4,0,0,0
train/images/hurricane-florence_00000129_pre_disaster.png,train/masks/hurricane-florence_00000129_pre_disaster.png,train,hurricane-florence_00000129_pre_disaster,hurricane-florence,00000129,pre,1317,0,0,0,4,0,0,0
train/images/hurricane-florence_00000131_post_disaster.png,train/masks/hurricane-florence_00000131_post_disaster.png,train,hurricane-florence_00000131_post_disaster,hurricane-florence,00000131,post,0,0,998,0,0,0,4,0
train/images/hurricane-florence_00000131_pre_disaster.png,train/masks/hurricane-florence_00000131_pre_disaster.png,train,hurricane-florence_00000131_pre_disaster,hurricane-florence,00000131,pre,998,0,0,0,4,0,0,0
train/images/hurricane-florence_00000133_post_disaster.png,train/masks/hurricane-florence_00000133_post_disaster.png,train,hurricane-florence_00000133_post_disaster,hurricane-florence,00000133,post,600,0,0,128,1,0,0,1
train/images/hurricane-florence_00000133_pre_disaster.png,train/masks/hurricane-florence_00000133_pre_disaster.png,train,hurricane-florence_00000133_pre_disaster,hurricane-florence,00000133,pre,731,0,0,0,2,0,0,0
