image_fname,mask_fname,folder,image_id,event_name,sample_id,event_type,non_damaged_pixels,light_damaged_pixels,medium_damaged_pixels,destroyed_pixels,non_damaged_buildings,light_damaged_buildings,medium_damaged_buildings,destroyed_buildings,fold
train/images/santa-rosa-wildfire_00000000_pre_disaster.png,train/masks/santa-rosa-wildfire_00000000_pre_disaster.png,train,santa-rosa-wildfire_00000000_pre_disaster,santa-rosa-wildfire,0,pre,15438,0,0,0,22,0,0,0,1
train/images/socal-fire_00000000_pre_disaster.png,train/masks/socal-fire_00000000_pre_disaster.png,train,socal-fire_00000000_pre_disaster,socal-fire,0,pre,0,0,0,0,0,0,0,0,0
train/images/midwest-flooding_00000000_pre_disaster.png,train/masks/midwest-flooding_00000000_pre_disaster.png,train,midwest-flooding_00000000_pre_disaster,midwest-flooding,0,pre,1030,0,0,0,5,0,0,0,3
train/images/santa-rosa-wildfire_00000001_pre_disaster.png,train/masks/santa-rosa-wildfire_00000001_pre_disaster.png,train,santa-rosa-wildfire_00000001_pre_disaster,santa-rosa-wildfire,1,pre,101612,0,0,0,35,0,0,0,1
train/images/guatemala-volcano_00000003_pre_disaster.png,train/masks/guatemala-volcano_00000003_pre_disaster.png,train,guatemala-volcano_00000003_pre_disaster,guatemala-volcano,3,pre,4146,0,0,0,3,0,0,0,0
train/images/hurricane-harvey_00000003_pre_disaster.png,train/masks/hurricane-harvey_00000003_pre_disaster.png,train,hurricane-harvey_00000003_pre_disaster,hurricane-harvey,3,pre,127026,0,0,0,19,0,0,0,4
train/images/midwest-flooding_00000004_pre_disaster.png,train/masks/midwest-flooding_00000004_pre_disaster.png,train,midwest-flooding_00000004_pre_disaster,midwest-flooding,4,pre,149208,0,0,0,85,0,0,0,3
train/images/palu-tsunami_00000004_pre_disaster.png,train/masks/palu-tsunami_00000004_pre_disaster.png,train,palu-tsunami_00000004_pre_disaster,palu-tsunami,4,pre,152240,0,0,0,88,0,0,0,2
train/images/hurricane-florence_00000004_pre_disaster.png,train/masks/hurricane-florence_00000004_pre_disaster.png,train,hurricane-florence_00000004_pre_disaster,hurricane-florence,4,pre,136790,0,0,0,75,0,0,0,1
train/images/mexico-earthquake_00000005_pre_disaster.png,train/masks/mexico-earthquake_00000005_pre_disaster.png,train,mexico-earthquake_00000005_pre_disaster,mexico-earthquake,5,pre,349931,0,0,0,165,0,0,0,3
train/images/hurricane-florence_00000005_pre_disaster.png,train/masks/hurricane-florence_00000005_pre_disaster.png,train,hurricane-florence_00000005_pre_disaster,hurricane-florence,5,pre,175012,0,0,0,74,0,0,0,2
train/images/guatemala-volcano_00000005_pre_disaster.png,train/masks/guatemala-volcano_00000005_pre_disaster.png,train,guatemala-volcano_00000005_pre_disaster,guatemala-volcano,5,pre,126,0,0,0,1,0,0,0,4
train/images/midwest-flooding_00000006_pre_disaster.png,train/masks/midwest-flooding_00000006_pre_disaster.png,train,midwest-flooding_00000006_pre_disaster,midwest-flooding,6,pre,2355,0,0,0,5,0,0,0,1
train/images/mexico-earthquake_00000006_pre_disaster.png,train/masks/mexico-earthquake_00000006_pre_disaster.png,train,mexico-earthquake_00000006_pre_disaster,mexico-earthquake,6,pre,350044,0,0,0,257,0,0,0,0
train/images/hurricane-florence_00000007_pre_disaster.png,train/masks/hurricane-florence_00000007_pre_disaster.png,train,hurricane-florence_00000007_pre_disaster,hurricane-florence,7,pre,50369,0,0,0,15,0,0,0,3
train/images/midwest-flooding_00000008_pre_disaster.png,train/masks/midwest-flooding_00000008_pre_disaster.png,train,midwest-flooding_00000008_pre_disaster,midwest-flooding,8,pre,4960,0,0,0,10,0,0,0,4
train/images/palu-tsunami_00000008_pre_disaster.png,train/masks/palu-tsunami_00000008_pre_disaster.png,train,palu-tsunami_00000008_pre_disaster,palu-tsunami,8,pre,168355,0,0,0,135,0,0,0,2
train/images/socal-fire_00000009_pre_disaster.png,train/masks/socal-fire_00000009_pre_disaster.png,train,socal-fire_00000009_pre_disaster,socal-fire,9,pre,22575,0,0,0,16,0,0,0,3
train/images/guatemala-volcano_00000009_pre_disaster.png,train/masks/guatemala-volcano_00000009_pre_disaster.png,train,guatemala-volcano_00000009_pre_disaster,guatemala-volcano,9,pre,17364,0,0,0,4,0,0,0,4
train/images/palu-tsunami_00000010_pre_disaster.png,train/masks/palu-tsunami_00000010_pre_disaster.png,train,palu-tsunami_00000010_pre_disaster,palu-tsunami,10,pre,121807,0,0,0,176,0,0,0,0
train/images/mexico-earthquake_00000010_pre_disaster.png,train/masks/mexico-earthquake_00000010_pre_disaster.png,train,mexico-earthquake_00000010_pre_disaster,mexico-earthquake,10,pre,440418,0,0,0,146,0,0,0,2
train/images/hurricane-matthew_00000010_pre_disaster.png,train/masks/hurricane-matthew_00000010_pre_disaster.png,train,hurricane-matthew_00000010_pre_disaster,hurricane-matthew,10,pre,24161,0,0,0,55,0,0,0,3
train/images/guatemala-volcano_00000011_pre_disaster.png,train/masks/guatemala-volcano_00000011_pre_disaster.png,train,guatemala-volcano_00000011_pre_disaster,guatemala-volcano,11,pre,1162,0,0,0,1,0,0,0,2
train/images/midwest-flooding_00000011_pre_disaster.png,train/masks/midwest-flooding_00000011_pre_disaster.png,train,midwest-flooding_00000011_pre_disaster,midwest-flooding,11,pre,93587,0,0,0,57,0,0,0,4
train/images/hurricane-harvey_00000011_pre_disaster.png,train/masks/hurricane-harvey_00000011_pre_disaster.png,train,hurricane-harvey_00000011_pre_disaster,hurricane-harvey,11,pre,234729,0,0,0,140,0,0,0,3
train/images/hurricane-matthew_00000011_pre_disaster.png,train/masks/hurricane-matthew_00000011_pre_disaster.png,train,hurricane-matthew_00000011_pre_disaster,hurricane-matthew,11,pre,40913,0,0,0,51,0,0,0,4
train/images/santa-rosa-wildfire_00000012_pre_disaster.png,train/masks/santa-rosa-wildfire_00000012_pre_disaster.png,train,santa-rosa-wildfire_00000012_pre_disaster,santa-rosa-wildfire,12,pre,225546,0,0,0,160,0,0,0,1
train/images/mexico-earthquake_00000012_pre_disaster.png,train/masks/mexico-earthquake_00000012_pre_disaster.png,train,mexico-earthquake_00000012_pre_disaster,mexico-earthquake,12,pre,288017,0,0,0,143,0,0,0,1
train/images/palu-tsunami_00000012_pre_disaster.png,train/masks/palu-tsunami_00000012_pre_disaster.png,train,palu-tsunami_00000012_pre_disaster,palu-tsunami,12,pre,104766,0,0,0,95,0,0,0,2
train/images/hurricane-florence_00000013_pre_disaster.png,train/masks/hurricane-florence_00000013_pre_disaster.png,train,hurricane-florence_00000013_pre_disaster,hurricane-florence,13,pre,58987,0,0,0,48,0,0,0,3
train/images/midwest-flooding_00000014_pre_disaster.png,train/masks/midwest-flooding_00000014_pre_disaster.png,train,midwest-flooding_00000014_pre_disaster,midwest-flooding,14,pre,82854,0,0,0,56,0,0,0,0
train/images/hurricane-michael_00000015_pre_disaster.png,train/masks/hurricane-michael_00000015_pre_disaster.png,train,hurricane-michael_00000015_pre_disaster,hurricane-michael,15,pre,565,0,0,0,3,0,0,0,3
train/images/socal-fire_00000016_pre_disaster.png,train/masks/socal-fire_00000016_pre_disaster.png,train,socal-fire_00000016_pre_disaster,socal-fire,16,pre,2578,0,0,0,1,0,0,0,4
train/images/midwest-flooding_00000016_pre_disaster.png,train/masks/midwest-flooding_00000016_pre_disaster.png,train,midwest-flooding_00000016_pre_disaster,midwest-flooding,16,pre,179343,0,0,0,15,0,0,0,4
train/images/midwest-flooding_00000017_pre_disaster.png,train/masks/midwest-flooding_00000017_pre_disaster.png,train,midwest-flooding_00000017_pre_disaster,midwest-flooding,17,pre,17958,0,0,0,16,0,0,0,3
train/images/hurricane-harvey_00000018_pre_disaster.png,train/masks/hurricane-harvey_00000018_pre_disaster.png,train,hurricane-harvey_00000018_pre_disaster,hurricane-harvey,18,pre,390269,0,0,0,111,0,0,0,1
train/images/socal-fire_00000018_pre_disaster.png,train/masks/socal-fire_00000018_pre_disaster.png,train,socal-fire_00000018_pre_disaster,socal-fire,18,pre,0,0,0,0,0,0,0,0,3
train/images/hurricane-michael_00000018_pre_disaster.png,train/masks/hurricane-michael_00000018_pre_disaster.png,train,hurricane-michael_00000018_pre_disaster,hurricane-michael,18,pre,97160,0,0,0,102,0,0,0,2
train/images/hurricane-matthew_00000018_pre_disaster.png,train/masks/hurricane-matthew_00000018_pre_disaster.png,train,hurricane-matthew_00000018_pre_disaster,hurricane-matthew,18,pre,4603,0,0,0,25,0,0,0,2
train/images/hurricane-matthew_00000019_pre_disaster.png,train/masks/hurricane-matthew_00000019_pre_disaster.png,train,hurricane-matthew_00000019_pre_disaster,hurricane-matthew,19,pre,3601,0,0,0,14,0,0,0,0
train/images/hurricane-michael_00000019_pre_disaster.png,train/masks/hurricane-michael_00000019_pre_disaster.png,train,hurricane-michael_00000019_pre_disaster,hurricane-michael,19,pre,33537,0,0,0,19,0,0,0,1
train/images/hurricane-florence_00000019_pre_disaster.png,train/masks/hurricane-florence_00000019_pre_disaster.png,train,hurricane-florence_00000019_pre_disaster,hurricane-florence,19,pre,143409,0,0,0,134,0,0,0,4
train/images/santa-rosa-wildfire_00000019_pre_disaster.png,train/masks/santa-rosa-wildfire_00000019_pre_disaster.png,train,santa-rosa-wildfire_00000019_pre_disaster,santa-rosa-wildfire,19,pre,72224,0,0,0,49,0,0,0,1
train/images/socal-fire_00000020_pre_disaster.png,train/masks/socal-fire_00000020_pre_disaster.png,train,socal-fire_00000020_pre_disaster,socal-fire,20,pre,0,0,0,0,0,0,0,0,2
